"train/epoch","worthy-silence-13 - _step","worthy-silence-13 - _step__MIN","worthy-silence-13 - _step__MAX","worthy-silence-13 - train/loss","worthy-silence-13 - train/loss__MIN","worthy-silence-13 - train/loss__MAX","logical-frog-8 - _step","logical-frog-8 - _step__MIN","logical-frog-8 - _step__MAX","logical-frog-8 - train/loss","logical-frog-8 - train/loss__MIN","logical-frog-8 - train/loss__MAX"
"3.18","75","75","75","0.1865","0.1865","0.1865","37","37","37","0.2133","0.2133","0.2133"
"3.22","76","76","76","0.1891","0.1891","0.1891","","","","","",""
"3.26","77","77","77","0.196","0.196","0.196","38","38","38","0.282","0.282","0.282"
"3.3","78","78","78","0.1952","0.1952","0.1952","","","","","",""
"3.34","79","79","79","0.1911","0.1911","0.1911","39","39","39","0.2266","0.2266","0.2266"
"3.39","80","80","80","0.2227","0.2227","0.2227","","","","","",""
"3.43","81","81","81","0.2128","0.2128","0.2128","40","40","40","0.2875","0.2875","0.2875"
"3.47","82","82","82","0.1899","0.1899","0.1899","","","","","",""
"3.51","83","83","83","0.1929","0.1929","0.1929","41","41","41","0.2442","0.2442","0.2442"
"3.55","84","84","84","0.21","0.21","0.21","","","","","",""
"3.6","85","85","85","0.2148","0.2148","0.2148","42","42","42","0.2532","0.2532","0.2532"
"3.64","86","86","86","0.2149","0.2149","0.2149","","","","","",""
"3.68","87","87","87","0.1935","0.1935","0.1935","43","43","43","0.2508","0.2508","0.2508"
"3.72","88","88","88","0.2179","0.2179","0.2179","","","","","",""
"3.76","89","89","89","0.1801","0.1801","0.1801","44","44","44","0.284","0.284","0.284"
"3.8","90","90","90","0.187","0.187","0.187","","","","","",""
"3.85","91","91","91","0.2239","0.2239","0.2239","45","45","45","0.2277","0.2277","0.2277"
"3.89","92","92","92","0.2249","0.2249","0.2249","","","","","",""
"3.93","93","93","93","0.1978","0.1978","0.1978","46","46","46","0.2867","0.2867","0.2867"
"3.97","94","94","94","0.1941","0.1941","0.1941","","","","","",""
"4.01","95","95","95","0.176","0.176","0.176","47","47","47","0.235","0.235","0.235"
"4.06","96","96","96","0.1601","0.1601","0.1601","","","","","",""
"4.1","97","97","97","0.1562","0.1562","0.1562","48","48","48","0.1959","0.1959","0.1959"
"4.14","98","98","98","0.1586","0.1586","0.1586","","","","","",""
"4.18","99","99","99","0.1445","0.1445","0.1445","49","49","49","0.1917","0.1917","0.1917"
"4.22","100","100","100","0.1601","0.1601","0.1601","","","","","",""
"4.26","101","101","101","0.1741","0.1741","0.1741","50","50","50","0.21","0.21","0.21"
"4.31","102","102","102","0.1597","0.1597","0.1597","","","","","",""
"4.35","103","103","103","0.174","0.174","0.174","51","51","51","0.1962","0.1962","0.1962"
"4.39","104","104","104","0.1586","0.1586","0.1586","","","","","",""
"4.43","105","105","105","0.1534","0.1534","0.1534","52","52","52","0.2032","0.2032","0.2032"
"4.47","106","106","106","0.1634","0.1634","0.1634","","","","","",""
"4.52","107","107","107","0.1612","0.1612","0.1612","53","53","53","0.201","0.201","0.201"
"4.56","108","108","108","0.1564","0.1564","0.1564","","","","","",""
"4.6","109","109","109","0.156","0.156","0.156","54","54","54","0.2279","0.2279","0.2279"
"4.64","110","110","110","0.1667","0.1667","0.1667","","","","","",""
"4.68","111","111","111","0.1718","0.1718","0.1718","55","55","55","0.1931","0.1931","0.1931"
"4.72","112","112","112","0.1652","0.1652","0.1652","","","","","",""
"4.77","113","113","113","0.1758","0.1758","0.1758","56","56","56","0.2093","0.2093","0.2093"
"4.81","114","114","114","0.1657","0.1657","0.1657","","","","","",""
"4.85","115","115","115","0.173","0.173","0.173","57","57","57","0.217","0.217","0.217"
"4.89","116","116","116","0.173","0.173","0.173","","","","","",""
"4.93","117","117","117","0.1667","0.1667","0.1667","58","58","58","0.224","0.224","0.224"
"4.97","118","118","118","0.173","0.173","0.173","","","","","",""
